P,features,split,model,balanced_accuracy,macro_f1
5,baseline,random,LogReg_bal,0.30086889672092676,0.14837609484522948
5,baseline,random,RF,0.385257546327708,0.4157788473761584
5,baseline,random,ExtraTrees,0.3829765595995985,0.4086475633536715
5,baseline,temporal_strat,LogReg_bal,0.2867566506503125,0.11219461364721992
5,baseline,temporal_strat,RF,0.3503463238744765,0.34616796338627526
5,baseline,temporal_strat,ExtraTrees,0.31943034238170404,0.3144905275418637
5,extended,random,LogReg_bal,0.4419153467842518,0.19317563408191055
5,extended,random,RF,0.40877123350663186,0.4512720995760606
5,extended,random,ExtraTrees,0.40652203098905737,0.4416410312543965
5,extended,temporal_strat,LogReg_bal,0.3059016412837914,0.12194046438929688
5,extended,temporal_strat,RF,0.2965168659536906,0.29953426157299123
5,extended,temporal_strat,ExtraTrees,0.3730182964565804,0.35440264608863953
10,baseline,random,LogReg_bal,0.38597709549308706,0.16069512735090224
10,baseline,random,RF,0.39025627587551037,0.4237566154440656
10,baseline,random,ExtraTrees,0.38469255559485394,0.41688722274685075
10,baseline,temporal_strat,LogReg_bal,0.31078596601178493,0.1634481894310475
10,baseline,temporal_strat,RF,0.3350573941060387,0.3452797533418139
10,baseline,temporal_strat,ExtraTrees,0.30180916711147804,0.29984988579435373
10,extended,random,LogReg_bal,0.4452450257256804,0.20680413184189855
10,extended,random,RF,0.40484980368977874,0.4470468673430753
10,extended,random,ExtraTrees,0.40982297535783463,0.4412159048167732
10,extended,temporal_strat,LogReg_bal,0.3265726045598026,0.1368039562786569
10,extended,temporal_strat,RF,0.2955402795436487,0.3005087292325327
10,extended,temporal_strat,ExtraTrees,0.3388175515999635,0.33856836752640435
20,baseline,random,LogReg_bal,0.3874632967763863,0.17961719187108408
20,baseline,random,RF,0.3881848972890862,0.4261931466739363
20,baseline,random,ExtraTrees,0.3735422900712516,0.41046537838360636
20,baseline,temporal_strat,LogReg_bal,0.3021409132145275,0.16185406419872633
20,baseline,temporal_strat,RF,0.34653026752741306,0.35803000399797236
20,baseline,temporal_strat,ExtraTrees,0.3078492673621046,0.3070510708587217
20,extended,random,LogReg_bal,0.4388517768344828,0.2156683492020208
20,extended,random,RF,0.404418753080719,0.45134292129793413
20,extended,random,ExtraTrees,0.4069760457302042,0.44113603381595495
20,extended,temporal_strat,LogReg_bal,0.352711973322692,0.1443511243280556
20,extended,temporal_strat,RF,0.2948853850032389,0.2993878653295419
20,extended,temporal_strat,ExtraTrees,0.33496426796248907,0.33204125118649924
40,baseline,random,LogReg_bal,0.3857670030186009,0.18396842177689215
40,baseline,random,RF,0.3828721358116979,0.42140276584640385
40,baseline,random,ExtraTrees,0.37172330110744917,0.39955006650611274
40,baseline,temporal_strat,LogReg_bal,0.2884233946981526,0.16873701140866945
40,baseline,temporal_strat,RF,0.344144556517592,0.35547332253775404
40,baseline,temporal_strat,ExtraTrees,0.3097540292668665,0.30749282639438047
40,extended,random,LogReg_bal,0.42593713587605697,0.2125375872297786
40,extended,random,RF,0.396821586015916,0.4389329103448763
40,extended,random,ExtraTrees,0.3856415996583088,0.4169890201029808
40,extended,temporal_strat,LogReg_bal,0.3395891462205447,0.1523579165432561
40,extended,temporal_strat,RF,0.29405048525386546,0.2965310352623618
40,extended,temporal_strat,ExtraTrees,0.3271190316915065,0.3208710223275544
